spend_date,channel,spend_amount
2023-01-01,SEO,8967.15
2023-01-01,Paid Search,1780.36
2023-01-01,Social Media,5845.27
2023-01-01,Affiliate,9219.07
2023-01-01,Referral,4491.75
2023-02-01,SEO,8466.09
2023-02-01,Paid Search,2203.26
2023-02-01,Social Media,9418.55
2023-02-01,Affiliate,7762.81
2023-02-01,Referral,9472.01
2023-03-01,SEO,7089.56
2023-03-01,Paid Search,4270.64
2023-03-01,Social Media,9443.63
2023-03-01,Affiliate,3480.1
2023-03-01,Referral,3989.55
2023-04-01,SEO,7307.28
2023-04-01,Paid Search,7887.85
2023-04-01,Social Media,9364.63
2023-04-01,Affiliate,2843.22
2023-04-01,Referral,8181.98
2023-05-01,SEO,7646.91
2023-05-01,Paid Search,1574.15
2023-05-01,Social Media,4485.01
2023-05-01,Affiliate,3544.89
2023-05-01,Referral,3740.41
2023-06-01,SEO,9846.52
2023-06-01,Paid Search,6785.0
2023-06-01,Social Media,7459.09
2023-06-01,Affiliate,9789.56
2023-06-01,Referral,4394.82
2023-07-01,SEO,8216.56
2023-07-01,Paid Search,4910.78
2023-07-01,Social Media,8825.8
2023-07-01,Affiliate,2625.92
2023-07-01,Referral,9529.18
2023-08-01,SEO,2968.95
2023-08-01,Paid Search,3935.98
2023-08-01,Social Media,7805.73
2023-08-01,Affiliate,4543.8
2023-08-01,Referral,6473.9
2023-09-01,SEO,5001.16
2023-09-01,Paid Search,7681.33
2023-09-01,Social Media,3054.98
2023-09-01,Affiliate,1526.12
2023-09-01,Referral,3699.36
2023-10-01,SEO,5268.78
2023-10-01,Paid Search,2512.18
2023-10-01,Social Media,4193.18
2023-10-01,Affiliate,4599.85
2023-10-01,Referral,1516.53
2023-11-01,SEO,6249.77
2023-11-01,Paid Search,8959.09
2023-11-01,Social Media,2365.69
2023-11-01,Affiliate,6380.27
2023-11-01,Referral,6982.65
2023-12-01,SEO,4774.01
2023-12-01,Paid Search,7309.88
2023-12-01,Social Media,4696.58
2023-12-01,Affiliate,5541.74
2023-12-01,Referral,1066.18
