order_id,customer_id,order_date,revenue,cost
1,1,2023-04-11,168.06,98.31
2,2,2023-06-30,87.76,47.67
3,2,2023-11-07,47.08,22.52
4,2,2023-07-14,194.58,107.53
5,2,2023-08-23,104.36,44.3
6,2,2023-07-09,30.15,16.87
7,3,2023-04-07,43.25,25.35
8,3,2023-04-17,61.16,30.67
9,3,2023-04-18,84.47,28.22
10,3,2023-04-23,113.66,60.43
11,3,2023-04-12,173.39,80.73
12,3,2023-04-14,177.8,74.86
13,3,2023-03-25,25.18,13.26
14,4,2023-02-28,22.62,9.17
15,4,2023-03-22,90.6,39.07
16,5,2023-01-26,131.98,73.74
17,5,2023-04-10,46.47,26.86
18,5,2023-01-31,66.48,29.1
19,6,2023-01-19,33.66,11.4
20,6,2023-01-15,47.34,16.17
21,6,2023-02-10,52.74,21.29
22,7,2023-01-10,27.36,9.59
23,7,2023-01-13,51.86,16.94
24,7,2023-01-07,102.94,37.25
25,8,2023-05-02,163.89,80.04
26,8,2023-05-03,177.24,102.14
27,10,2023-03-22,86.68,38.6
28,10,2023-04-12,86.4,37.91
29,10,2023-04-25,26.6,9.99
30,11,2023-01-19,115.87,43.19
31,11,2023-01-11,87.91,26.9
32,11,2023-01-13,58.06,23.12
33,11,2023-01-05,180.29,86.19
34,12,2023-08-22,125.63,65.78
35,12,2023-08-15,42.96,16.55
36,12,2023-08-12,136.27,64.21
37,13,2023-04-21,47.51,17.76
38,13,2023-04-23,53.58,20.66
39,13,2023-04-23,181.42,58.79
40,14,2023-01-30,194.5,108.85
41,14,2023-03-06,66.42,23.33
42,14,2023-02-17,187.29,87.47
43,15,2023-01-19,78.26,33.47
44,15,2023-02-03,63.63,21.28
45,16,2023-01-18,106.61,49.02
46,16,2023-01-14,80.59,27.43
47,18,2023-03-20,156.84,75.08
48,18,2023-03-05,94.13,38.09
49,18,2023-05-04,169.51,99.93
50,20,2023-01-23,153.4,72.46
51,20,2023-03-17,45.16,24.32
52,21,2023-03-03,166.62,83.24
53,22,2023-03-01,99.04,40.91
54,22,2023-01-28,74.25,38.93
55,22,2023-01-30,61.8,35.22
56,23,2023-01-24,189.17,92.37
57,23,2023-02-02,45.07,24.26
58,23,2023-02-19,116.02,65.92
59,24,2023-02-08,64.73,33.87
60,26,2023-05-24,39.91,22.11
61,26,2023-04-07,91.51,49.34
62,26,2023-04-07,61.27,31.66
63,27,2023-01-26,52.69,30.17
64,27,2023-02-09,92.15,40.42
65,27,2023-04-12,47.6,22.65
66,27,2023-02-04,130.06,39.72
67,28,2023-03-10,129.21,55.2
68,28,2023-03-25,188.19,108.71
69,28,2023-03-02,40.38,24.04
70,28,2023-04-08,42.44,24.46
71,28,2023-04-15,113.39,54.13
72,28,2023-02-28,29.86,11.96
73,29,2023-03-07,91.67,42.28
74,30,2023-02-12,101.4,37.25
75,30,2023-01-21,45.35,16.0
76,31,2023-03-24,133.81,40.67
77,31,2023-03-30,52.05,30.62
78,31,2023-03-02,94.63,30.81
79,32,2023-02-22,57.78,32.9
80,32,2023-01-18,54.32,16.89
81,32,2023-01-31,121.67,38.9
82,33,2023-01-20,120.74,41.85
83,33,2023-01-11,175.12,102.24
84,33,2023-01-19,68.73,33.9
85,34,2023-07-03,148.88,74.09
86,36,2023-05-13,23.55,7.8
87,37,2023-01-30,37.9,14.13
88,37,2023-03-01,174.03,95.55
89,38,2023-01-17,181.34,55.11
90,38,2023-01-09,57.42,17.68
91,39,2023-03-27,180.68,98.51
92,40,2023-02-18,126.25,48.03
93,41,2023-01-18,190.72,100.91
94,41,2023-01-12,176.32,78.68
95,41,2023-03-16,163.97,70.11
96,43,2023-01-11,45.08,24.82
97,43,2023-05-07,114.62,40.29
98,44,2023-08-06,41.2,19.49
99,45,2023-03-12,57.16,17.34
100,45,2023-01-22,182.0,102.31
101,46,2023-05-19,95.38,39.58
102,46,2023-03-28,28.45,9.95
103,46,2023-04-16,34.9,16.79
104,47,2023-02-02,84.02,43.33
105,48,2023-03-18,188.63,98.04
106,48,2023-02-21,25.61,9.7
107,49,2023-03-09,127.43,51.01
108,50,2023-01-15,151.07,67.78
109,51,2023-09-18,163.89,83.32
110,51,2023-08-07,126.24,51.54
111,53,2023-09-16,100.28,35.65
112,54,2023-07-11,64.94,29.02
113,54,2023-05-23,197.78,115.35
114,54,2023-05-17,147.0,84.9
115,54,2023-05-21,122.23,70.24
116,54,2023-05-17,145.54,56.64
117,55,2023-04-17,26.66,12.77
118,55,2023-03-03,41.7,13.47
119,55,2023-03-31,81.18,42.0
120,55,2023-02-26,76.75,35.45
121,55,2023-04-11,77.38,37.74
122,55,2023-04-30,130.86,48.4
123,57,2023-03-09,115.21,67.02
124,58,2023-02-02,132.95,74.73
125,58,2023-05-18,158.29,67.33
126,58,2023-01-30,152.76,56.77
127,58,2023-01-17,83.83,32.37
128,59,2023-01-04,23.22,13.85
129,60,2023-01-31,190.99,102.35
130,60,2023-01-26,95.16,53.65
131,61,2023-06-20,61.7,35.96
132,61,2023-03-02,129.39,58.72
133,61,2023-02-06,51.78,18.96
134,62,2023-01-20,194.44,109.88
135,62,2023-04-07,199.08,70.11
136,63,2023-06-05,60.4,22.18
137,63,2023-05-09,126.73,60.07
138,63,2023-04-18,177.94,67.56
139,65,2023-02-04,87.08,32.91
140,65,2023-02-27,109.26,35.43
141,65,2023-01-27,142.99,46.16
142,65,2023-03-18,109.13,48.47
143,65,2023-02-15,168.44,68.11
144,65,2023-02-22,121.83,46.31
145,66,2023-03-16,155.49,54.05
146,66,2023-04-20,176.93,54.63
147,66,2023-04-09,43.2,17.3
148,66,2023-03-28,48.94,26.69
149,66,2023-04-10,111.34,33.62
150,66,2023-02-26,131.05,77.89
151,66,2023-03-17,66.76,32.73
152,66,2023-03-11,160.37,53.26
153,67,2023-03-31,38.45,22.35
154,67,2023-02-13,32.21,12.57
155,67,2023-02-15,32.12,15.25
156,67,2023-01-22,131.76,41.34
157,68,2023-05-20,24.43,7.49
158,68,2023-04-19,107.96,57.34
159,68,2023-05-12,100.26,38.31
160,68,2023-09-30,96.71,42.11
161,69,2023-02-09,59.74,19.4
162,70,2023-12-17,47.19,20.28
163,70,2023-12-13,95.55,46.97
164,71,2023-08-01,93.68,53.23
165,72,2023-01-14,137.3,56.37
166,73,2023-03-02,159.79,84.89
167,73,2023-02-25,156.98,76.59
168,73,2023-01-05,25.85,14.9
169,74,2023-04-16,143.4,61.53
170,74,2023-04-18,108.49,34.64
171,74,2023-05-08,68.42,36.9
172,75,2023-03-17,90.65,40.25
173,75,2023-04-11,72.5,36.87
174,76,2023-04-08,38.89,14.49
175,76,2023-07-27,45.65,20.53
176,77,2023-04-10,113.19,36.94
177,77,2023-04-11,25.98,8.41
178,77,2023-04-14,43.89,20.64
179,78,2023-01-10,38.82,19.06
180,78,2023-02-10,25.69,14.92
181,80,2023-02-27,34.42,19.57
182,80,2023-01-31,167.11,72.81
183,80,2023-02-07,114.75,59.61
184,80,2023-01-10,30.86,11.55
185,80,2023-01-13,176.92,64.71
186,81,2023-06-15,138.57,62.28
187,81,2023-05-24,149.46,55.08
188,82,2023-04-03,33.0,10.2
189,82,2023-03-08,103.27,57.88
190,82,2023-04-07,153.69,65.73
191,83,2023-06-05,27.22,15.25
192,84,2023-03-07,182.13,77.68
193,84,2023-01-13,126.62,72.64
194,84,2023-01-11,132.13,64.67
195,85,2023-03-01,183.63,64.99
196,86,2023-03-22,108.61,40.64
197,86,2023-03-26,100.15,45.51
198,87,2023-04-03,194.49,73.41
199,87,2023-04-21,78.53,41.78
200,89,2023-05-13,50.56,23.05
201,89,2023-05-23,169.2,72.63
202,90,2023-02-13,50.17,15.6
203,90,2023-03-19,139.48,61.7
204,91,2023-01-11,68.55,21.74
205,91,2023-01-30,188.59,58.8
206,91,2023-01-11,101.4,58.83
207,91,2023-01-19,111.3,34.78
208,92,2023-06-14,135.04,75.67
209,92,2023-04-03,112.81,50.39
210,92,2023-04-17,45.14,13.95
211,93,2023-04-29,194.58,63.86
212,93,2023-04-29,99.88,55.98
213,94,2023-04-14,190.03,95.96
214,95,2023-06-18,144.11,72.48
215,95,2023-04-06,138.6,57.96
216,95,2023-04-30,39.19,19.49
217,95,2023-11-08,28.68,17.01
218,96,2023-04-14,92.75,36.92
219,96,2023-03-15,165.41,87.45
220,96,2023-03-29,98.4,53.66
221,96,2023-02-13,118.01,35.61
222,97,2023-03-01,145.18,60.48
223,98,2023-02-17,60.91,19.61
224,99,2023-01-16,175.4,79.93
225,99,2023-01-21,24.62,9.91
226,99,2023-01-16,91.79,43.51
227,100,2023-01-13,21.36,10.56
228,100,2023-03-16,63.83,36.9
229,100,2023-01-08,188.2,76.31
230,100,2023-01-10,107.46,40.52
231,100,2023-01-17,75.31,40.74
232,100,2023-01-30,76.04,36.73
233,101,2023-01-05,52.61,26.53
234,101,2023-01-08,114.53,58.72
235,103,2023-03-13,119.04,37.26
236,103,2023-02-22,191.25,91.89
237,103,2023-03-15,179.16,66.01
238,104,2023-02-27,171.18,97.57
239,105,2023-07-07,69.47,37.99
240,106,2023-02-16,101.32,48.23
241,106,2023-01-23,152.64,85.3
242,107,2023-02-01,135.55,65.35
243,108,2023-04-09,127.01,57.03
244,109,2023-02-20,92.78,39.75
245,110,2023-01-08,150.38,71.21
246,110,2023-01-14,34.3,11.17
247,110,2023-03-13,54.54,21.65
248,111,2023-01-23,113.43,36.33
249,112,2023-03-15,137.16,63.08
250,112,2023-01-22,79.94,40.04
251,113,2023-06-10,121.21,71.19
252,113,2023-06-14,144.2,51.95
253,113,2023-07-02,37.4,16.27
254,113,2023-07-21,82.56,41.24
255,114,2023-04-14,198.65,114.84
256,114,2023-05-03,171.57,78.29
257,114,2023-05-09,36.04,18.98
258,116,2023-05-14,67.36,27.49
259,116,2023-05-06,188.65,87.94
260,116,2023-05-14,91.46,39.71
261,117,2023-04-15,187.51,62.8
262,117,2023-05-29,88.51,49.87
263,117,2023-06-07,165.07,88.64
264,117,2023-04-18,34.57,14.55
265,117,2023-04-13,145.09,58.59
266,118,2023-03-13,186.1,83.02
267,118,2023-02-09,157.67,55.57
268,118,2023-02-02,91.76,31.56
269,119,2023-05-14,44.33,26.11
270,120,2023-03-09,99.11,32.87
271,120,2023-03-18,58.89,28.61
272,120,2023-03-19,47.36,15.08
273,121,2023-09-14,30.4,15.46
274,121,2023-08-10,63.05,21.61
275,123,2023-02-27,31.21,14.13
276,124,2023-01-29,96.7,32.8
277,124,2023-03-13,100.96,36.18
278,124,2023-01-20,94.54,51.83
279,124,2023-02-15,158.47,48.07
280,125,2023-01-25,156.85,53.51
281,125,2023-02-07,58.74,17.84
282,126,2023-02-06,118.63,51.76
283,126,2023-03-30,37.65,16.81
284,126,2023-02-07,78.44,40.88
285,126,2023-02-22,87.66,36.67
286,127,2023-05-17,98.77,37.18
287,127,2023-06-07,26.92,15.36
288,127,2023-05-01,134.7,67.05
289,127,2023-06-19,134.6,65.17
290,127,2023-04-15,113.31,39.1
291,128,2023-05-01,148.94,47.9
292,128,2023-05-01,22.18,13.02
293,128,2023-06-08,83.59,32.51
294,129,2023-01-06,37.71,18.78
295,129,2023-02-13,67.71,20.74
296,129,2023-01-03,194.21,75.48
297,130,2023-02-15,130.7,69.58
298,130,2023-03-14,115.45,36.09
299,130,2023-05-26,163.77,63.52
300,131,2023-02-14,187.06,68.72
301,131,2023-02-15,97.77,42.22
302,131,2023-03-02,189.75,70.63
303,131,2023-02-05,55.54,31.44
304,131,2023-03-05,71.46,38.93
305,131,2023-04-02,172.37,99.23
306,132,2023-03-12,151.13,80.54
307,132,2023-02-17,51.94,24.07
308,133,2023-01-13,43.71,22.63
309,133,2023-02-28,58.43,26.4
310,134,2023-02-04,121.7,61.66
311,134,2023-03-27,134.53,71.08
312,134,2023-01-30,103.08,31.21
313,134,2023-02-02,150.76,90.09
314,136,2023-02-17,151.95,73.66
315,136,2023-01-30,83.97,44.94
316,137,2023-03-27,26.36,13.81
317,138,2023-03-25,46.8,18.33
318,138,2023-05-15,199.34,81.83
319,139,2023-02-12,145.21,43.7
320,139,2023-02-25,83.99,45.21
321,139,2023-01-30,125.88,55.93
322,139,2023-02-27,31.67,15.01
323,140,2023-09-21,68.57,37.54
324,140,2023-08-23,33.87,10.76
325,140,2023-08-15,161.28,82.62
326,141,2023-07-27,98.12,32.04
327,141,2023-07-23,127.68,66.48
328,141,2024-01-24,187.96,92.62
329,142,2023-02-02,171.16,71.06
330,142,2023-02-12,125.8,44.7
331,142,2023-01-31,80.21,24.69
332,144,2023-02-01,189.32,71.52
333,144,2023-02-07,177.09,97.86
334,145,2023-02-09,44.03,14.27
335,145,2023-03-01,109.36,47.14
336,146,2023-01-31,44.36,23.31
337,146,2023-02-04,192.19,61.63
338,148,2023-02-19,183.13,68.65
339,149,2023-02-17,31.77,14.18
340,149,2023-01-05,31.28,17.89
341,150,2023-02-04,82.52,47.03
342,152,2023-02-02,66.83,34.7
343,152,2023-05-16,66.18,32.84
344,152,2023-01-23,121.76,53.47
345,152,2023-05-04,129.53,52.44
346,154,2023-02-18,173.11,81.08
347,155,2023-11-10,150.11,48.08
348,156,2023-02-04,107.25,37.51
349,156,2023-04-14,173.0,86.62
350,157,2023-03-31,31.21,14.16
351,157,2023-04-26,102.66,32.4
352,158,2023-04-02,79.44,41.87
353,158,2023-04-18,56.88,32.04
354,159,2023-05-22,158.96,48.98
355,159,2023-01-19,103.51,59.29
356,159,2023-02-09,109.61,36.35
357,160,2023-04-11,71.68,38.55
358,160,2023-04-14,134.22,72.39
359,160,2023-04-04,184.72,84.95
360,160,2023-03-25,145.26,78.15
361,160,2023-03-31,174.29,99.67
362,161,2023-02-03,53.16,30.21
363,161,2023-02-28,47.38,20.47
364,162,2023-05-05,164.65,74.35
365,163,2023-05-05,96.95,33.8
366,163,2023-03-02,120.76,55.33
367,163,2023-04-09,180.25,58.37
368,163,2023-04-10,53.73,29.95
369,163,2023-04-22,117.34,60.2
370,164,2023-03-06,84.4,37.83
371,164,2023-04-09,80.34,28.29
372,165,2023-01-14,45.55,18.42
373,165,2023-01-23,154.79,76.67
374,166,2023-08-13,134.15,45.33
375,166,2023-05-22,78.52,39.72
376,166,2023-04-21,51.48,28.66
377,167,2023-02-23,144.95,65.78
378,167,2023-02-03,58.28,18.06
379,168,2023-02-28,139.7,52.82
380,168,2023-03-25,140.73,65.88
381,168,2023-01-16,100.47,44.02
382,168,2023-03-13,118.4,49.03
383,169,2023-01-19,27.56,14.39
384,170,2023-05-06,155.71,84.31
385,170,2023-02-23,193.31,100.13
386,170,2023-03-05,169.29,65.08
387,171,2023-04-14,117.33,38.6
388,172,2023-01-20,74.23,35.59
389,173,2023-03-25,28.67,16.37
390,174,2023-01-18,63.11,33.98
391,174,2023-01-17,124.91,74.78
392,174,2023-03-15,113.86,36.33
393,174,2023-03-10,127.82,42.75
394,176,2023-01-28,77.05,33.16
395,176,2023-02-25,128.35,72.87
396,176,2023-01-29,129.28,63.27
397,176,2023-02-07,146.47,54.37
398,176,2023-02-02,38.76,16.1
399,177,2023-04-02,134.14,43.1
400,177,2023-03-20,85.13,37.61
401,177,2023-03-13,45.2,17.31
402,177,2023-06-26,79.64,35.41
